Transaction Reference,Account ID,Buyer ID Code,Buyer DM ID Code,Account Type,Service Level,Branch Code
TXN500,A00000001,549300TESTCLIENT0001,549300FNDMGR00000001,SIPP,D,ABC001
TXN501,A00000002,549300TESTCLIENT0002,,General,A,ABC001
TXN502,B00000003,549300TESTCLIENT0003,,ISA,E,ABC001
TXN503,A00000004,549300TESTCLIENT0004,,Managed,D,ABC001
TXN504,A00000005,549300TESTCLIENT0005,549300TESTCLIENT0005,Managed,D,ABC001
TXN505,A00000006,549300TESTCLIENT0006,549300FNDMGR00000001,Managed,D,ABC001
TXN506,X00000007,549300TESTCLIENT0007,,Trading,D,XYZ002
TXN507,A00000008,549300TESTCLIENT0008,,Managed,D,UNKNOWN
TXN508,A00000009,549300TESTCLIENT0009,TESTBADLE2WRONGFMTXX,Managed,D,ABC001
TXN509,A00000010,549300TESTCLIENT0010,549300FNDMGR00000002,Managed,D,ABC001
