isin,trade_date,is_reportable,reportability_reason,matched_mics
GB00BMV92D64,21/05/2025,Y,ACTIVE,FRAB|CHIX|STUD|AQXA|AQXD|SGMY|SGMX|BATF|EQTC|TRQM|TRQA|STUB|BNTW|TREU|LIQU|XPOL|XPAL|AQXE|CHID|BLOX|CHIO|BATP|BATD|BRFQ|LISX|TRQX|BATE|XLON|FRAV|XWAP
IE0000TZZ2B2,21/05/2025,Y,ACTIVE,STUF|HAMN|XPAL|XLON|DUSB|SGMV|SGMY|XGAT|SGMX|XPOL|XETU|FRAA|XPOS|STUD|BMTF|TWEM|TREU|STUB|DUSD|XPAC|BTFE|SGMU|ETFP|XMSM|FRAU|XETA
GB00BDR05C01,21/05/2025,Y,ACTIVE,XPAL|AQXD|AQXE|IMCE|BRFQ|TREU|SGMY|BLOX|AQXA|XEMB|TWEM|STUD|XETV|DUSB|TRQA|XETB|TPIR|CHIO|XWAP|XGAT|CHIX|XLON|XTXM|MUNB|STUB|STUF|LISX|XPOL|LIQU|TRQX|TRQM|SGMX|HAND|FRAV|BATF|BATE|BATD|HAMN|DUSD|EQTC|BATP|MUND|FRAB|CHID|HANB|BNTW
GB0001367019,21/05/2025,Y,ACTIVE,BATD|AQXA|TRQA|BATE|SGMY|BLOX|XWAP|TRQM|BNTW|HAND|FRAV|CHID|CHIX|DUSD|MUND|STUF|LIQU|TREU|HANB|EQTC|BATF|AQXE|TRQX|CHIO|SGMX|BATP|BRFQ|LISX|XPOL|XPAL|XLON|AQXD|IMCE|STUB|XTXM|FRAB|STUD|XGAT|TPIR|DUSB|HAMN
GB00BMV92D64,21/05/2025,Y,ACTIVE,FRAB|CHIX|STUD|AQXA|AQXD|SGMY|SGMX|BATF|EQTC|TRQM|TRQA|STUB|BNTW|TREU|LIQU|XPOL|XPAL|AQXE|CHID|BLOX|CHIO|BATP|BATD|BRFQ|LISX|TRQX|BATE|XLON|FRAV|XWAP
IE00B4ND3602,21/05/2025,Y,ACTIVE,STUF|EXSI|DUSD|TRQM|AQXE|MUND|BATD|RFQU|IMCE|AQXA|STUB|FRAA|XETA|JBUL|FRAU|HAMN|AQXD|TRQA|CHIX|BMTF|IMET|XWAP|XETU|MUNB|XGAT|BTFE|BATP|BATF|STUD|DUSB|BETA|TPIR|AQSN|CHID|AQST|LISX|HAND|BATE|XLON|CHIO|TWEM|TRQX|TREU
IE00B60SWT88,21/05/2025,Y,ACTIVE,CHIO|CHIX|XPAL|BATF|BATD|AQXA|SGMY|CHID|AQXE|XWAP|XPOL|BLOX|BRFQ|TWEM|XMSM|AQXD|BATP|SGMX|BTFE|XLON|BMTF|BNTW|TREU|LISX|BATE
IE00B3CNHG25,21/05/2025,Y,ACTIVE,AQXE|AQXD|DUSB|XAMS|XETA|XPAC|CEUD|AQEA|STUF|STUD|FRAU|BEUP|XPOS|FRAA|BNTW|XPOL|CHID|BATF|CHIO|XPAL|SGMX|BATD|IMET|AQXA|BMTF|AQEU|DUSD|STUB|HAND|ETFP|AQED|CEUX|LISZ|TWEM|MUND|BTFE|XGAT|XETU|HAMN|MUNB|CEUO|BRFQ|BLOX|TREU|SGMY|XLON|TRQA|BATP|TRQX|TRQM|LISX|XWAP|CHIX|BATE
IE000UL6CLP7,21/05/2025,Y,ACTIVE,AQEA|FRAA|XPAL|XETU|AQXE|AQXA|XMSM|ETFP|TREU|BTFE|BATP|XEMA|LISX|CHIO|XLON|CHID|BATE|BATD|FRAU|CEUO|DUSD|AQEU|AQED|AQXD|SGMV|SGMU|XPOL|SGMX|XPAC|XPOS|BMTF|SGMY|XETA|MUND|STUD|HAMN|MUNB|DUSB|XGAT|TWEM|HAND|STUB|STUF|BATF|CEUD|BEUP|LISZ|CHIX|CEUX|XWAP
GB0004559349,21/05/2025,Y,ACTIVE,AQXA|XPAL|TRQX|SGMX|BRFQ|BLOX|TRQM|BATE|BATP|XWAP|XLON|CHIO|BATF|TREU|LISX|AQXE|AQXD|XPOL|TRQA|SGMY|LIQU|TPIR|CHID|BATD|CHIX|BNTW
GB00BF7L8P11,21/05/2025,Y,ACTIVE,BNTW|XLON|CHID|SGMY|LISX|AQXD|AQXA|BRFQ|XPAL|LIQU|XPOL|TPIR|IMCE|TREU|XWAP|BLOX|BATE|CHIX|AQXE|BATP|SGMX|CHIO|TRQM|BATF|BATD|TRQA|TRQX
GB00BN7SWP63,21/05/2025,Y,ACTIVE,AQXE|AQXA|TWEM|EQTC|AQXD|XPAL|XETB|BRFQ|SGMX|CHIX|TRQM|FRAB|BLOX|XGAT|BATF|TRQX|AQEA|CHID|AQED|AQEU|DUSD|HAND|XEMB|FRAV|IMCE|BNTW|XPOL|STUD|HANB|MUNB|DUSB|HAMB|MUND|HAMN|XETV|TREU|LIQU|BATD|TRQA|BATP|CHIO|SGMY|LISX|BATE|STUB|STUF|XLON|XWAP|TPIR
GB00B2QPKJ12,21/05/2025,Y,ACTIVE,XPOL|FRAB|EQTC|STUD|TPIR|STUB|TRQM|AQXE|CHID|BATF|IMCE|LIQU|XPAL|DUSB|AQXD|MUND|MUNB|XGAT|HAMN|HANB|SGMY|HAND|SGMX|TREU|BLOX|STUF|LISX|BATP|CHIX|DUSD|FRAV|XLON|BATE|CHIO|XWAP|BATD|XTXM|TRQA|TRQX|BRFQ|AQXA|BNTW
IE00B3RBWM25,21/05/2025,Y,ACTIVE,AQSN|AQXE|XPOL|CEUO|STUB|HAND|SGMY|BATE|STUF|LISZ|CHIO|XPAL|XLON|BMTF|XETU|XMSM|XPOS|STUD|BTFE|AQEU|XETA|FRAU|XPAR|TREU|ETFP|CHID|DUSD|CEUD|MUNB|AQST|BATD|AQXD|AQXA|LISX|MUND|XWAP|SGMV|CEUX|TRQX|HAMN|AQED|XGAT|CHIX|DUSB|TRQA|FRAA|TRQM|BATF|SGMX|BATP|XAMS|EQTB|XPAC|JBUL|AQEA|SGMU|BEUP|TWEM|IMET
GB00BMWLM973,21/05/2025,Y,ACTIVE,FRAB|AIMX|DUSB|XPAL|XPOL|BLOX|FRAV|BRFQ|STUB|DUSD|STUD|BNTW
US35953D1046,21/05/2025,Y,ACTIVE,TPIR|IMCE
