LEI,trade_date,lei_valid,lei_status,legal_name,lei_reason,entity_category,legal_address_country,source_file
2138001K51G75NM2ME62,21/05/2026,Y,ISSUED,CG AJ BELL ADVENTUROUS,ISSUED,FUND,GB,gleif_eg.csv
2138002LVFQBOGSMJV84,21/05/2026,Y,ISSUED,CG AJ BELL BALANCED,ISSUED,FUND,GB,gleif_eg.csv
213800HFDBRZA1WQ6U22,21/05/2026,Y,ISSUED,CG AJ BELL CAUTIOUS,ISSUED,FUND,GB,gleif_eg.csv
213800WMHMFDDFS9LN57,21/05/2026,N,LAPSED,AJ BELL (PP) TRUSTEES LIMITED,LAPSED,GENERAL,GB,gleif_eg.csv
213800Z22HRUTZO3E256,21/05/2026,Y,ISSUED,VT AJ BELL RESPONSIBLE GROWTH,ISSUED,FUND,GB,gleif_eg.csv
213800BCSJW371MXPR33,21/05/2026,Y,ISSUED,CG AJ BELL ICVC,ISSUED,FUND,GB,gleif_eg.csv
213800G3EH5JRIELZI96,21/05/2026,Y,ISSUED,CG AJ BELL INCOME,ISSUED,FUND,GB,gleif_eg.csv
254900BEGSPHNEQQ2Y18,21/05/2026,Y,ISSUED,AJ Bell Asset Management Limited,ISSUED,GENERAL,GB,gleif_eg.csv
21380016211EBQEXDN76,21/05/2026,Y,ISSUED,CG AJ BELL MODERATELY CAUTIOUS,ISSUED,FUND,GB,gleif_eg.csv
213800SKOCNXRO759D52,21/05/2026,Y,ISSUED,CG AJ BELL MODERATELY ADVENTUROUS,ISSUED,FUND,GB,gleif_eg.csv
213800ZLMW82JNSO2587,21/05/2026,Y,ISSUED,AJ BELL EMPLOYEE BENEFIT TRUST 2023,ISSUED,GENERAL,GB,gleif_eg.csv
2138005SG4IPH9RI1C75,21/05/2026,Y,ISSUED,CG AJ BELL INCOME & GROWTH,ISSUED,FUND,GB,gleif_eg.csv
213800AWOW16AIRU4S43,21/05/2026,Y,ISSUED,CG AJ BELL GLOBAL GROWTH,ISSUED,FUND,GB,gleif_eg.csv
213800YTOGWRLA395487,21/05/2026,N,LAPSED,AJ BELL - THE K'S PENSION FUND,LAPSED,GENERAL,GB,gleif_eg.csv
213800VNKA7DPWXWJJ36,21/05/2026,Y,ISSUED,AJ BELL PLC,ISSUED,GENERAL,GB,gleif_eg.csv
5493003YB16GRLO7DK75,21/05/2026,N,RETIRED,AJ Bell Investments LLP,RETIRED,GENERAL,GB,gleif_eg.csv
213800Y4I7TN34WUBD71,21/05/2026,Y,ISSUED,AJ BELL SECURITIES LIMITED,ISSUED,GENERAL,GB,gleif_eg.csv
