Country Code,Country Name,1 - Client Identifier,1 - Number of Characters,1 - Format (Characters: Content),2 - Client Identifier,2 - Number of Characters,2 - Format (Characters: Content),3 - Client Identifier,3 - Number of Characters,3 - Format (Characters: Content),1 - GPT Friendly,2 - GPT Friendly,3 - GPT Friendly
AT,Austria,CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",,,,,,,"Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #",,
BE,Belgium,Belgian National Number,11,"6: DOB (YYMMDD)
3: Ordering digit (odd for males, even for females)
2: Check digit",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",,,,"6-digit DOB (YYMMDD) + 3 digit ordering number (odd for males, even for females) + 2 digit check number","Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #",
BG,Bulgaria,Bulgarian Personal Number,10,"6: DOB (YYMMDD)
2: Randomly generated according to city of birth
1: Even for males, odd for females
1: Check digit",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",,,,"6-digit DOB (YYMMDD) + 2 digits, randomly generated + 1 digit, odd for females, even for males + 1-digit check number","Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #",
CY,Cyprus,National Passport Number,"7
or
9","Issued before 13/12/2010
1: E
6: Digits
Issued after 13/12/2010
1: K
8: Digits",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",,,,"Issued before 13/12/2010: E + 6 digits
Issued after 13/12/2010: K + 8 digits","Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #",
CZ,Czech Republic,National identification number,"9
or
10","Born before 01/01/1954
6: DOB (YYXXDD, where XX=MM for males and XX=MM+50 (or MM=70, exceptionally) for females)
3: Serial number
Born after 01/01/1954
6: DOB (YYXXDD, where XX=MM for males and XX=MM+50 (or MM=70, exceptionally) for females)
3: Serial number
1: Check digit (first 9 digit modulo 11)",Passport Number,8(+),8(+): Digits,CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname","Born before 01/01/1954: 6-digit DOB (YYXXDD, where XX=MM for males and XX=MM+50 (or MM=70, exceptionally) for females) + 3-digit serial number
Born after 01/01/1954: 6-digit DOB (YYXXDD, where XX=MM for males and XX=MM+50 (or MM=70, exceptionally) for females) + 3-digit serial number + 1-digit check number
",8 (+) digits,"Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #"
DE,Germany,CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",,,,,,,"Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #",,
DK,Denmark,Personal identity code,10,"6: DOB (DDMMYY)
4: Digits",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",,,,6-digit DOB (DDMMYY) + 4 digits,"Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #",
EE,Estonia,Estonian Personal Identification Code,11,"1: Sex and century of birth (odd for males, even for females; 1-2 for 19th, 3-4 for 20th, 5-6 for 21st)
6: DOB (YYMMDD)
3: Serial number
1: Checkdigit",,,,,,,"1 digit for sex and century of birth (odd for males, even for females; 1-2 for 19th, 3-4 for 20th, 5-6 for 21st) + 6-digit DOB + 3-digit serial number + 1-digit check number",,
ES,Spain,Tax identification number,9,"8: digits
1: Control letter (I, Ñ, O and U are not used)
or
L + 7 digits + control letter for non-resident Spaniards, uness they have a National ID Card.
K + 7 digits + control letter for Spaniards under 14, uness they have a National ID Card.",,,,,,,"Resident Spaniards: 8 digits + 1 control letter (I, Ñ, O and U are not used)
Non-resident Spaniards: L + 7 digits + 1 control letter (I, Ñ, O and U are not used)
Spaniards under 14: K + 7 digits + 1 control letter (I, Ñ, O and U are not used)",,
FI,Finland,Personal identity code,11,"6: DOB (DDMMYY)
1: Century sign (+ (1800-1899), - (1900-1999) or A (2000-2099)
3: Individual number (odd for males, even for females; for people born in Finland, its range is 002-899)",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",,,,"6-digit DOB (DDMMYY) + 1-character birth century sign (+ for 1800-1899, -  for 1900-1999, A for 2000-2099) + 3-digit individual number, odd for males and even for females","Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #",
